session_timestamp_ms,phase,gsr,ecg_raw
3384,relax,,1.325
3387,relax,,1.246
3389,relax,,1.544
3392,relax,,1.989
3395,relax,,2.19
3398,relax,,2.063
3400,relax,,1.735
3403,relax,,1.403
3406,relax,,1.31
3408,relax,,1.53
3411,relax,,1.975
3415,relax,,2.234
3417,relax,,2.136
3420,relax,,1.779
3423,relax,,1.383
3425,relax,,1.163
3428,relax,,1.305
3431,relax,,1.745
3433,relax,,2.116
3436,relax,,2.136
3439,relax,,1.862
3442,relax,,1.471
3444,relax,,1.168
3445,relax,1.44,
3447,relax,,1.222
3450,relax,,1.603
3452,relax,,2.023
3456,relax,,2.141
3459,relax,,1.926
3461,relax,,1.54
3464,relax,,1.212
3467,relax,,1.183
3469,relax,,1.52
3472,relax,,1.955
3475,relax,,2.16
3478,relax,,2.023
3480,relax,,1.672
3483,relax,,1.3
3486,relax,,1.158
3488,relax,,1.398
3491,relax,,1.857
3494,relax,,2.146
